X1,X2,X3,X4,X5
-1.686897687,-1.284061351,-0.676028198,-2.560116334,-1.05423662
-0.730267231,-0.554860059,-2.554331147,-0.526335477,1.100919247
-1.262045464,-0.781841716,-0.733257958,-0.898063817,0.088592718
2.706406143,-2.376647186,-0.932955319,-0.095345352,-2.008676178
3.448313039,0.052548414,1.37283919,-1.478179499,-0.976366795
0.871755409,0.949020421,4.941991036,2.990595535,0.443065643
-3.311687971,-0.261598384,2.826364153,-0.26296983,-0.426580475
2.767842867,2.386103479,-2.802479703,-0.269368436,0.521156997
4.703689802,1.152264564,-1.60920353,0.22473016,1.270535816
-1.646306018,-0.092808552,1.469862301,3.385941339,4.067678151
-3.595978075,1.149036609,-1.079935432,4.893118245,4.411882388
-2.985980125,4.011441122,1.371519218,2.346999312,1.866651028
0.925635817,4.774975904,1.813669022,-3.133351502,-3.390815145
3.175170809,1.459277761,1.1840951,-1.55210101,-5.257406844
-0.443754188,2.292119285,2.565855754,2.92408394,-0.063091191
-4.357400102,1.095411369,3.002017356,2.205092251,-0.421957051
2.43917826,-3.563448648,-1.611099962,0.779933014,2.18085004
0.051788587,-1.447048217,-0.144582442,0.776480616,0.693985047
-1.967277243,-3.260509236,2.461059304,-1.526425327,-2.833340748
-1.919131609,-2.580004678,-2.441866154,-4.070622744,-2.504145594
0.417559243,-2.551229429,-6.167066683,-1.381505891,1.81091153
2.006887429,-1.942767663,-2.396358999,1.389835296,4.064677251
-2.273124856,-2.489897239,-0.900598402,1.837482832,-0.141003217
-1.475166999,-2.617317156,2.549438499,-2.209641492,-5.557768598
-2.882273886,-3.565229345,-2.143539828,-3.700184961,-3.550386744
1.598890653,2.073058195,-4.155072754,-5.430950826,-1.423115841
1.051598208,3.088487783,-2.609069547,-1.318511805,-0.672534005
-1.214976828,3.605472985,0.558822232,0.467798922,-1.96964036
0.483589125,3.778743292,3.18617504,-0.114354774,4.000901024
5.221377926,0.334075879,0.775353833,-0.356729098,5.109166711
5.04590842,3.037594826,-3.342218453,-0.643552525,0.322428882
2.137262835,2.357225796,-0.95803669,0.165539141,-2.536714883
-0.35375102,-3.958243442,-2.89524795,-1.299666438,-0.157485848
-4.97165269,-2.018458761,0.206836482,-1.2463424,1.931028602
-2.621376246,-3.583739888,-0.273400574,0.644367742,1.813330862
-1.574580953,-1.224022393,-0.234659893,3.255038648,-2.541218483
-0.800334261,1.642113191,-1.17366214,0.1953072,-2.518245647
-1.7818504,1.066022308,2.345097717,-0.074745839,-1.354410602
-1.515597798,-3.685465906,0.534346417,-0.081548924,-0.38145559
0.884170399,-2.728410196,0.384791946,-0.823268175,1.121614205
-0.278006267,-0.345387255,1.040362468,0.946016654,3.165274355
2.307226244,1.779842415,6.506040878,3.254850883,1.930432756
-0.543976328,-0.69441581,3.764363518,1.069717529,-0.414716602
-2.640704996,-1.647685002,-2.133132652,0.567623493,-1.531028488
-0.161443692,-1.218278976,-3.949818234,1.213813975,-0.718302385
0.433410095,0.076260735,2.80511033,1.702663977,-0.011011255
0.760114461,-0.829818963,0.015689384,-1.331489509,1.51993871
1.255813577,-0.67191885,1.260910905,0.555486326,2.47109432
4.496401561,0.900837904,4.617963591,1.508831915,2.126815362
5.40444842,2.790747916,-0.335360343,0.48434591,3.984863782
1.246736969,3.998068143,-1.131218758,4.708971544,2.627751653
2.02416162,3.895332101,-0.203491285,-1.560281658,-2.189754247
-2.533099696,-0.75636548,-2.214817642,-0.372044736,-2.997195853
-3.613137103,0.604014723,-0.459319722,-2.314054811,-1.085877692
-0.923159388,3.883809484,1.080506279,-0.617453574,-0.769839845
-2.095640193,3.850001856,0.411369571,-0.935140242,-1.723051052
1.165263378,-0.91610293,-1.100608669,0.019806336,-0.959893073
-0.835306373,-3.178198912,-2.186655999,2.985115536,0.875948353
-0.121092624,-1.368601222,0.749977929,-2.00218149,1.555035919
1.92880671,-2.500567655,0.541799021,-1.361743454,2.870273746
1.339167447,3.309979351,2.436594269,0.320684833,-0.76407378
-0.660339951,-0.87223178,4.194856856,-0.102037535,-1.987387675
-1.957827657,-1.410328789,0.611566868,-1.621907811,-0.397959768
-2.147368543,-1.49966903,-2.388560668,-1.152593243,4.188368585
